index,name,url,phone,rating,address,latitude,longitude
60,Bar Sybanne,https://www.yelp.com/biz/bar-sybanne-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+16473509229,4.5,229 Ossington Avenue,43.64913,-79.42028
61,The Irv Gastro Pub,https://www.yelp.com/biz/the-irv-gastro-pub-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+16473504787,4.5,195 Carlton Street,43.6635399,-79.3705826
62,Cluck Clucks,https://www.yelp.com/biz/cluck-clucks-toronto-2?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+16477482582,4.0,222 The Esplanade,43.6497687124273,-79.3660896960711
63,La Bella Managua,https://www.yelp.com/biz/la-bella-managua-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14169134227,4.5,872 Bloor Street W,43.6622312,-79.4249898
64,Saigon Lotus,https://www.yelp.com/biz/saigon-lotus-toronto-3?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14169011115,4.5,6 St Andrew Street,43.65449,-79.39928
65,Black Cat Espresso Bar,https://www.yelp.com/biz/black-cat-espresso-bar-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+16473859929,4.5,1104 College Street,43.65278,-79.43235
66,Millwood Melt Grilled Cheesery,https://www.yelp.com/biz/millwood-melt-grilled-cheesery-east-york?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+16478857048,5.0,902 Millwood Road,43.703159,-79.3633473
67,Lee Restaurant,https://www.yelp.com/biz/lee-restaurant-toronto-3?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14165047867,4.0,601 King Street W,43.644144,-79.400384
68,Sakawa Coffee & Japanese Restaurant,https://www.yelp.com/biz/sakawa-coffee-and-japanese-restaurant-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,,4.5,867 Danforth Ave,43.67971,-79.33964
69,Wallace Espresso,https://www.yelp.com/biz/wallace-espresso-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+16472100993,5.0,188 Wallace Avenue,43.6624238862292,-79.4442284724458
70,Kintako Japanese Restaurant,https://www.yelp.com/biz/kintako-japanese-restaurant-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14168006074,4.5,214 Laird Drive,43.711488,-79.3640926
71,Salad House,https://www.yelp.com/biz/salad-house-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+16473521424,4.5,13 Hayden Street,43.6695636,-79.3855593
72,Zezafoun Syrian Cuisine,https://www.yelp.com/biz/zezafoun-syrian-cuisine-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14163227707,4.5,4 Manor Road E,43.70267,-79.39712
73,Rasta Pasta,https://www.yelp.com/biz/rasta-pasta-toronto-2?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+16475014505,4.0,61 Kensington Avenue,43.6542328627147,-79.4004420356637
74,Ruby Watchco,https://www.yelp.com/biz/ruby-watchco-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14164650100,4.0,730 Queen Street E,43.6592,-79.3491
75,Hibiscus,https://www.yelp.com/biz/hibiscus-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14163646183,4.0,238 Augusta Avenue,43.65539,-79.40259
76,Sansotei,https://www.yelp.com/biz/sansotei-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+16473493833,4.0,650 Yonge Street,43.6668190173642,-79.3854692490327
77,Aloette,https://www.yelp.com/biz/aloette-toronto-3?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14162603444,4.5,163 Spadina Avenue,43.64851,-79.39584
78,California Sandwiches,https://www.yelp.com/biz/california-sandwiches-toronto-2?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14166033317,4.5,244 Claremont Street,43.65253,-79.41239
79,Insomnia Restaurant & Lounge,https://www.yelp.com/biz/insomnia-restaurant-and-lounge-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14165883907,4.0,563 Bloor Street W,43.6651314099312,-79.4108515895492
80,The Stockyards,https://www.yelp.com/biz/the-stockyards-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14166589666,4.0,699 Saint Clair Avenue W,43.68136,-79.42619
81,The Keg Steakhouse + Bar - Mansion,https://www.yelp.com/biz/the-keg-steakhouse-bar-mansion-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14169646609,4.0,515 Jarvis Street,43.66683,-79.37788
82,The Poke Box,https://www.yelp.com/biz/the-poke-box-toronto-2?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14169290363,4.5,36 Toronto Street,43.6505,-79.37657
83,Canis,https://www.yelp.com/biz/canis-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14162033317,4.5,746 Queen Street W,43.6460933596731,-79.4101145473278
84,Wvrst,https://www.yelp.com/biz/wvrst-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14167037775,4.0,609 King Street W,43.64418555054,-79.401014855291
85,Carisma,https://www.yelp.com/biz/carisma-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14168647373,4.5,73 King Street E,43.6495,-79.37535
86,Nom Nom Nom Poutine,https://www.yelp.com/biz/nom-nom-nom-poutine-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+16476360707,4.5,707 Dundas Street W,43.6520696112633,-79.4047858938575
87,Simone's Caribbean Restaurant,https://www.yelp.com/biz/simones-caribbean-restaurant-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14167925252,4.5,596 Danforth Avenue,43.67884,-79.34654
